Date	Open	High	Low	Close	Adj Close	Volume
2020-08-07	203.2200927734375	203.94000244140625	203.2200927734375	203.44000244140625	203.44000244140625	183656
2020-08-07	203.4199981689453	203.9199981689453	202.80999755859375	203.9149932861328	203.9149932861328	237689
2020-08-07	203.91000366210938	205.1999969482422	203.6199951171875	205.1750030517578	205.1750030517578	365377
2020-08-07	205.14999389648438	206.90640258789062	205.11500549316406	205.7100067138672	205.7100067138672	498724
2020-08-07	205.72000122070312	206.8699951171875	205.5399932861328	206.13999938964844	206.13999938964844	474282
2020-08-07	206.19000244140625	208.8000030517578	205.7100067138672	208.27000427246094	208.27000427246094	729478
2020-08-07	208.27	208.5	207.99	208.27	208.27	0
2020-08-07	208.12	208.27	207.85	208.15	208.15	0
2020-08-07	208.25	208.27	208.01	208.01	208.01	0
2020-08-10	208.49	209.5	208.49	209.5	209.5	0
2020-08-10	209.49	209.5	208.7	209.0	209.0	0
2020-08-10	209.45	209.45	208.9	208.9	208.9	0
2020-08-10	209.58999633789062	210.4499969482422	208.2082977294922	208.39999389648438	208.39999389648438	743346
2020-08-10	208.3000030517578	209.30999755859375	208.0399932861328	208.9199981689453	208.9199981689453	336582
2020-08-10	208.99000549316406	210.63999938964844	208.94000244140625	209.9199981689453	209.9199981689453	306781
2020-08-10	209.8800048828125	209.92999267578125	208.2100067138672	208.4949951171875	208.4949951171875	175574
2020-08-10	208.52999877929688	209.32000732421875	208.47999572753906	208.91000366210938	208.91000366210938	129419
2020-08-10	208.91000366210938	209.39999389648438	208.3800048828125	209.39999389648438	209.39999389648438	183843
2020-08-10	209.33999633789062	209.77999877929688	209.08999633789062	209.3800048828125	209.3800048828125	320836
2020-08-10	209.38	209.38	209.0	209.07	209.07	0
2020-08-10	209.0102	209.38	209.01	209.01	209.01	0
2020-08-10	208.6	208.82	208.6	208.8	208.8	0
2020-08-10	208.8	208.8	208.8	208.8	208.8	0
2020-08-11	211.2	211.2	211.2	211.2	211.2	0
2020-08-11	212.0	212.99	212.0	212.0	212.0	0
2020-08-11	211.51	212.0	211.51	212.0	212.0	0
2020-08-11	211.88	212.5	211.4	212.5	212.5	0
2020-08-11	212.49	212.99	212.4	212.94	212.94	0
2020-08-11	212.72000122070312	216.34500122070312	211.8300018310547	216.27999877929688	216.27999877929688	1181557
2020-08-11	216.27999877929688	216.9499969482422	214.77000427246094	214.82000732421875	214.82000732421875	589635
2020-08-11	214.78500366210938	215.67999267578125	213.69500732421875	215.42999267578125	215.42999267578125	358713
2020-08-11	215.47999572753906	215.85989379882812	214.99000549316406	215.32000732421875	215.32000732421875	237355
2020-08-11	215.30999755859375	215.64999389648438	214.47000122070312	214.52999877929688	214.52999877929688	233718
2020-08-11	214.5800018310547	215.0500030517578	212.5601043701172	213.47000122070312	213.47000122070312	376805
2020-08-11	213.4600067138672	213.6300048828125	210.52999877929688	210.99000549316406	210.99000549316406	662755
2020-08-11	210.99	212.4592	210.99	211.38	211.38	0
2020-08-11	211.06	211.06	211.06	211.06	211.06	0
2020-08-11	211.95	212.0	211.95	211.95	211.95	0
2020-08-11	211.9	211.9	211.9	211.9	211.9	0
2020-08-12	214.0	214.0	214.0	214.0	214.0	0
2020-08-12	214.05	214.05	214.0	214.01	214.01	0
2020-08-12	214.13	214.58	214.01	214.01	214.01	0
2020-08-12	213.9	215.7	213.7	215.29	215.29	0
2020-08-12	214.6999969482422	215.9499969482422	213.07000732421875	213.27000427246094	213.27000427246094	619946
2020-08-12	213.42999267578125	213.69000244140625	211.30999755859375	211.7799072265625	211.7799072265625	265921
2020-08-12	211.92999267578125	212.1999969482422	211.0	211.0399932861328	211.0399932861328	214601
2020-08-12	211.05999755859375	211.8000030517578	209.27000427246094	210.60800170898438	210.60800170898438	356472
2020-08-12	210.6750030517578	211.375	210.60000610351562	211.32000732421875	211.32000732421875	135753
2020-08-12	211.3197021484375	212.3300018310547	211.25	212.17999267578125	212.17999267578125	169175
2020-08-12	212.16000366210938	212.5800018310547	211.77000427246094	212.07000732421875	212.07000732421875	270637
2020-08-12	212.13	212.5093	212.13	212.13	212.13	0
2020-08-12	212.12	212.13	211.85	211.85	211.85	0
2020-08-12	212.11	212.11	212.11	212.11	212.11	0
2020-08-13	211.17	211.17	211.17	211.17	211.17	0
2020-08-13	210.77	212.0	210.75	211.07	211.07	0
2020-08-13	210.41000366210938	212.04159545898438	209.61000061035156	209.91000366210938	209.91000366210938	381932
2020-08-13	209.91000366210938	210.16000366210938	208.8300018310547	208.9499969482422	208.9499969482422	341407
